Genomes	Orthologs	Status
11	20525	Core
11	20094	Core
11	19837	Core
11	19905	Core
11	19935	Core
11	19771	Core
11	19785	Core
11	19757	Core
11	20371	Core
11	19903	Core
11	19945	Core
11	19892	Core
2	29016	Core
2	25756	Core
2	25315	Core
2	26517	Core
2	26327	Core
2	26565	Core
2	28800	Core
2	28448	Core
2	26451	Core
2	25900	Core
2	24594	Core
2	25777	Core
2	25097	Core
2	26335	Core
2	26206	Core
2	26274	Core
2	28736	Core
2	28557	Core
2	26301	Core
2	25590	Core
2	24385	Core
2	26510	Core
2	27978	Core
2	27574	Core
2	28036	Core
2	25753	Core
2	26521	Core
2	27985	Core
2	26770	Core
2	25215	Core
2	28340	Core
2	28242	Core
2	28615	Core
2	25239	Core
2	24827	Core
2	28349	Core
2	25393	Core
2	24996	Core
2	30080	Core
2	30342	Core
2	26604	Core
2	26058	Core
2	30526	Core
2	26773	Core
2	25922	Core
2	30098	Core
2	26349	Core
2	25933	Core
2	30097	Core
2	26584	Core
2	25756	Core
2	26459	Core
2	26014	Core
2	30403	Core
2	26699	Core
2	25999	Core
2	28544	Core
2	26504	Core
2	25748	Core
2	24360	Core
2	25950	Core
2	25481	Core
2	24151	Core
2	26784	Core
2	25875	Core
2	24711	Core
11	42874	Pan
11	42542	Pan
11	42422	Pan
11	42515	Pan
11	42485	Pan
11	42426	Pan
11	42484	Pan
11	42446	Pan
11	42603	Pan
11	42544	Pan
11	42425	Pan
11	42387	Pan
2	29231	Pan
2	26256	Pan
2	25875	Pan
2	27075	Pan
2	26852	Pan
2	27112	Pan
2	29049	Pan
2	28686	Pan
2	27033	Pan
2	26356	Pan
2	25124	Pan
2	26284	Pan
2	25655	Pan
2	26879	Pan
2	26709	Pan
2	26817	Pan
2	28990	Pan
2	28797	Pan
2	26883	Pan
2	26069	Pan
2	24934	Pan
2	26923	Pan
2	28346	Pan
2	27953	Pan
2	28407	Pan
2	26264	Pan
2	26932	Pan
2	28383	Pan
2	27101	Pan
2	25616	Pan
2	28656	Pan
2	28566	Pan
2	28992	Pan
2	25889	Pan
2	25399	Pan
2	28696	Pan
2	25923	Pan
2	25447	Pan
2	30327	Pan
2	30590	Pan
2	27106	Pan
2	26612	Pan
2	30764	Pan
2	27225	Pan
2	26368	Pan
2	30366	Pan
2	26867	Pan
2	26451	Pan
2	30352	Pan
2	26992	Pan
2	26161	Pan
2	27029	Pan
2	26570	Pan
2	30638	Pan
2	27138	Pan
2	26416	Pan
2	28783	Pan
2	27106	Pan
2	26228	Pan
2	24912	Pan
2	26546	Pan
2	25962	Pan
2	24699	Pan
2	27247	Pan
2	26351	Pan
2	25112	Pan
12	19662	Core
12	42972	Pan
4	23096	Core
4	23927	Core
4	23832	Core
4	23944	Core
4	23961	Core
4	24155	Core
4	23818	Core
4	23488	Core
4	22740	Core
4	23813	Core
4	23754	Core
4	23863	Core
4	23643	Core
4	23465	Core
4	23716	Core
4	22837	Core
4	22321	Core
4	24689	Core
4	24784	Core
4	24537	Core
4	24337	Core
4	24690	Core
4	23645	Core
4	23088	Core
4	24687	Core
4	24461	Core
4	24298	Core
4	24597	Core
4	23616	Core
4	23047	Core
4	24491	Core
4	24340	Core
4	24664	Core
4	23632	Core
4	23073	Core
4	26463	Core
4	24451	Core
4	23969	Core
4	23254	Core
4	24213	Core
4	23873	Core
4	23087	Core
4	23534	Core
4	23001	Core
4	22637	Core
4	23570	Core
4	23472	Core
4	23640	Core
4	23045	Core
4	23180	Core
4	23505	Core
4	22829	Core
4	22280	Core
4	24361	Core
4	24450	Core
4	23871	Core
4	24017	Core
4	24419	Core
4	23655	Core
4	23065	Core
4	24346	Core
4	23755	Core
4	23930	Core
4	24296	Core
4	23551	Core
4	22946	Core
4	23871	Core
4	24032	Core
4	24392	Core
4	23640	Core
4	23052	Core
4	24096	Core
4	23774	Core
4	23470	Core
4	22634	Core
4	23926	Core
4	23647	Core
4	22837	Core
4	23577	Core
4	22982	Core
4	22628	Core
4	24473	Core
4	24602	Core
4	23793	Core
5	22705	Core
5	22654	Core
5	22752	Core
5	22465	Core
5	22546	Core
5	22652	Core
5	22134	Core
5	21618	Core
5	23428	Core
5	23512	Core
5	23253	Core
5	23316	Core
5	23426	Core
5	22866	Core
5	22341	Core
5	23438	Core
5	23153	Core
5	23238	Core
5	23365	Core
5	22774	Core
5	22269	Core
5	23219	Core
5	23313	Core
5	23437	Core
5	22860	Core
5	22326	Core
5	23481	Core
5	23176	Core
5	22830	Core
5	22151	Core
5	23243	Core
5	22938	Core
5	22250	Core
5	22771	Core
5	22272	Core
5	21974	Core
5	23398	Core
5	23519	Core
5	23064	Core
5	22945	Core
5	23402	Core
5	22427	Core
5	22043	Core
5	23417	Core
5	23031	Core
5	22902	Core
5	23320	Core
6	22372	Core
6	22445	Core
6	22100	Core
6	22172	Core
6	22346	Core
6	21803	Core
6	21376	Core
6	22395	Core
6	22061	Core
6	22127	Core
6	22310	Core
6	21769	Core
6	21319	Core
6	22132	Core
6	22193	Core
6	22372	Core
6	21834	Core
4	35469	Pan
4	35920	Pan
4	35772	Pan
4	36059	Pan
4	34982	Pan
4	34927	Pan
4	35996	Pan
4	35372	Pan
4	34706	Pan
4	36031	Pan
