GO term	Ontology	Description	Number in input list	Number in BG/Ref	p-value	FDR
GO:0003676	F	nucleic acid binding	10306	27065	1.10E-66	3.50E-65
GO:0006259	P	DNA metabolic process	3796	9444	7.60E-50	4.70E-48
GO:0016787	F	hydrolase activity	10148	27615	1.90E-39	2.90E-38
GO:0004518	F	nuclease activity	1709	4055	2.00E-35	2.10E-34
GO:0000166	F	nucleotide binding	10025	27465	6.90E-35	4.30E-34
GO:0005488	F	binding	32538	92736	5.90E-35	4.30E-34
GO:0005515	F	protein binding	9964	28067	3.50E-20	1.80E-19
GO:0016788	F	hydrolase activity, acting on ester bonds	2778	7590	1.60E-12	6.90E-12
GO:0019825	F	oxygen binding	21	21	6.50E-11	2.50E-10
GO:0060089	F	molecular transducer activity	176	388	1.50E-07	4.80E-07
GO:0004872	F	receptor activity	176	388	1.50E-07	4.80E-07
GO:0004871	F	signal transducer activity	79	158	5.20E-06	1.50E-05
GO:0017111	F	nucleoside-triphosphatase activity	2344	6661	1.50E-05	3.50E-05
GO:0016817	F	hydrolase activity, acting on acid anhydrides	2423	6902	2.00E-05	4.20E-05
GO:0005783	C	endoplasmic reticulum	187	430	2.10E-06	4.80E-05
GO:0005730	C	nucleolus	39	63	1.90E-06	4.80E-05
GO:0005829	C	cytosol	11	11	4.60E-06	7.10E-05
GO:0030312	C	external encapsulating structure	103	226	3.90E-05	0.00036
GO:0005618	C	cell wall	103	226	3.90E-05	0.00036
GO:0005635	C	nuclear envelope	58	120	0.00028	0.0021
GO:0031975	C	envelope	194	491	0.00093	0.0054
GO:0012505	C	endomembrane system	368	993	0.0022	0.011
GO:0003677	F	DNA binding	3873	11470	0.011	0.021
GO:0008135	F	translation factor activity, RNA binding	217	589	0.019	0.035
